,id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
533,85,"Carter, Hugh",Male,1837–1903,1837.0,1903.0,"Birmingham, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/hugh-carter-85
534,7079,"Carter, Nathan",Male,born 1970,1970.0,,"New York, United States",,http://www.tate.org.uk/art/artists/nathan-carter-7079
535,86,"Carter, Samuel John",Male,1835–1892,1835.0,1892.0,"Swaffham, United Kingdom",,http://www.tate.org.uk/art/artists/samuel-john-carter-86
536,870,"Carter, William",Male,1863–1939,1863.0,1939.0,"Swaffham, United Kingdom","Swaffham, United Kingdom",http://www.tate.org.uk/art/artists/william-carter-870
537,2729,"Cartier-Bresson, Henri",Male,1908–2004,1908.0,2004.0,"Chanteloup, France",,http://www.tate.org.uk/art/artists/henri-cartier-bresson-2729
538,2484,"Carwitham, Thomas",Male,active 1713–1733,1713.0,1733.0,,,http://www.tate.org.uk/art/artists/thomas-carwitham-2484
539,2105,"Casas, Juan Vila",Male,1920 – 2007,1920.0,2007.0,"Sabadell, España","Barcelona, España",http://www.tate.org.uk/art/artists/juan-vila-casas-2105
540,4624,"Casebere, James",Male,born 1953,1953.0,,"Lansing, United States",,http://www.tate.org.uk/art/artists/james-casebere-4624
541,871,"Cast, Jesse Dale",Male,1900–1976,1900.0,1976.0,,,http://www.tate.org.uk/art/artists/jesse-dale-cast-871
542,87,"Cattermole, George",Male,1800–1868,1800.0,1868.0,"Norfolk, United Kingdom","Clapham, United Kingdom",http://www.tate.org.uk/art/artists/george-cattermole-87
543,873,"Caulfield, Patrick",Male,1936–2005,1936.0,2005.0,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/patrick-caulfield-873
544,874,"Cazin, Jean-Charles",Male,1841–1901,1841.0,1901.0,"Samer, France","Lavandou, le, France",http://www.tate.org.uk/art/artists/jean-charles-cazin-874
545,875,"Cazin, Marie",Female,1844–1924,1844.0,1924.0,"Paimbœeuf, France","Boulogne-sur-Mer, France",http://www.tate.org.uk/art/artists/marie-cazin-875
546,876,"Celic, Stojan",Male,1925–1992,1925.0,1992.0,,"Beograd, Jugoslavija",http://www.tate.org.uk/art/artists/stojan-celic-876
547,877,"Celice, Pierre",Male,born 1932,1932.0,,"Paris, France",,http://www.tate.org.uk/art/artists/pierre-celice-877
548,2731,"Celmins, Vija",Female,born 1938,1938.0,,"Riga, Latvija",,http://www.tate.org.uk/art/artists/vija-celmins-2731
549,878,César,Male,1921–1998,1921.0,1998.0,"Marseille, France","Paris, France",http://www.tate.org.uk/art/artists/cesar-cesar-baldaccini-878
550,879,"Cézanne, Paul",Male,1839–1906,1839.0,1906.0,"Aix-en-Provence, France","Aix-en-Provence, France",http://www.tate.org.uk/art/artists/paul-cezanne-879
551,2253,"Chadwick, Helen",Female,1953–1996,1953.0,1996.0,"Croydon, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/helen-chadwick-2253
552,880,"Chadwick, Lynn",Male,1914–2003,1914.0,2003.0,"Barnes, United Kingdom",,http://www.tate.org.uk/art/artists/lynn-chadwick-880
553,881,"Chagall, Marc",Male,1887–1985,1887.0,1985.0,"Vitebsk, Belarus","Saint-Paul, France",http://www.tate.org.uk/art/artists/marc-chagall-881
554,882,"Chaimowicz, Marc Camille",Male,born 1947,1947.0,,"Paris, France",,http://www.tate.org.uk/art/artists/marc-camille-chaimowicz-882
555,883,"Challenger, Michael",Male,born 1939,1939.0,,"Kent, United Kingdom",,http://www.tate.org.uk/art/artists/michael-challenger-883
556,88,"Chalon, Henry Bernard",Male,1770–1849,1770.0,1849.0,,"London, United Kingdom",http://www.tate.org.uk/art/artists/henry-bernard-chalon-88
557,884,"Chamberlain, Christopher",Male,1918–1984,1918.0,1984.0,"Worthing, United Kingdom",,http://www.tate.org.uk/art/artists/christopher-chamberlain-884
558,885,"Chamberlain, John",Male,1927–2011,1927.0,2011.0,"Rochester, United States","New York, United States",http://www.tate.org.uk/art/artists/john-chamberlain-885
559,89,"Chambers, George",Male,1803–1840,1803.0,1840.0,"Whitby, United Kingdom","Brighton, United Kingdom",http://www.tate.org.uk/art/artists/george-chambers-89
560,16108,"Chanarin, Oliver",Male,born 1971,1971.0,,"London, United Kingdom",,http://www.tate.org.uk/art/artists/oliver-chanarin-16108
561,2340,"Chandler, J.W.",Male,c.1770–1804 or 5,1770.0,1804.0,,"Edinburgh, United Kingdom",http://www.tate.org.uk/art/artists/jw-chandler-2340
562,886,"Chandra, Avinash",Male,1931–1991,1931.0,1991.0,"Simla, Bharat",,http://www.tate.org.uk/art/artists/avinash-chandra-886
563,887,"Chaney, Israel",Male,,,,,,http://www.tate.org.uk/art/artists/israel-chaney-887
564,11556,"Channer, Alice",Female,born 1977,1977.0,,"Oxford, United Kingdom",,http://www.tate.org.uk/art/artists/alice-channer-11556
565,90,"Chantrey, Sir Francis Legatt",Male,1781–1841,1781.0,1841.0,,"London, United Kingdom",http://www.tate.org.uk/art/artists/sir-francis-legatt-chantrey-90
566,888,"Chaplin, Bob",Male,born 1947,1947.0,,"Hastings, United Kingdom",,http://www.tate.org.uk/art/artists/bob-chaplin-888
567,4335,"Chapman, Dinos",Male,born 1962,1962.0,,"London, United Kingdom",,http://www.tate.org.uk/art/artists/dinos-chapman-4335
